id,company_name,website,categorie,employees,revenue,city,region,description
c3e9b963fddefa93c23a008ed7795d38,NUANCES UNIKALO SERVI COULEURS,https://servi-couleurs.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,,,"Distributeur independant, nous delivrons a nos clients le fruit dune experience de 50 ans daccompagnement des professionnels de la finition et de la decoration du batiment. Maitres douvrage, maitres duvre, applicateurs, et particuliers, nous sommes au plus pres de vous a chaque etape cle du projet :"
5ee4df40ba1a5190bdf7eb6bff7e00a9,Maisons SIC - Construction / Rénovation,https://sic-habitat.com,Construction,51-200,10M-25M,tonneins,,"Notre equipe dynamique, experte en construction de maisons individuelles et renovation, rassemble une trentaine de talents sur les chantiers : macons, charpentiers, couvreurs, plaquistes et carreleurs. En collaboration avec des artisans locaux tries sur le volet pour leur excellence, nous assurons u"
56874b8b93653a0594ddea4d456ef965,SELFBETON,https://selfbeton.fr,Lumber and Other Construction Materials Merchant W,1-10,1M-5M,,,"Le distributeur automatique de beton Selfbeton delivre des petites quantites de beton pret a l'emploi en mode ""beton-drive"". La production du beton se fait instantanement a la demande, sur simple achat directement a la borne de paiement."
527333557306a700510aef987edbfc83,SAFIR - Groupe ACCEDIA,https://portesafir.com,Wood Product Manufacturing,51-200,10M-25M,buchelay,île-de-france,"SAFIR est specialise dans la conception et la fabrication sur-mesure de portes automatiques pour le collectif, lindustrie et le residentiel. 100% des produits SAFIR sont assembles en France sur son site de Gargenville (78) et de Cuvilly (60) afin de garantir a ses clients des delais et une qualite d"
788e5d728c1cb4050164ef0c6a9824bb,Maurer Habitat,https://maurer-habitat.fr,Construction,11-50,1M-5M,,,"Specialisees dans le domaine de l'electricite, du sanitaire, de la pose de sols et de peintures. Les equipes de la societe Maurer sont a votre disposition pour vos travaux de construction, de renovation ou d'agrandissement, que ce soit dans votre residence principale, vos investissements locatifs ou"
e6da191b12048da53b87ac581ff0ff54,EVR ALU / Metalukit,https://evr-alu.fr,Construction,1-10,500K-1M,,,"Depuis pres de 10 ans EVR ALU est votre specialiste de l'aluminium. Fabricant et createur sur mesure de garde-corps, clotures et rampes d'escalier en aluminium. Notre equipe vous accompagne dans vos projets et vous conseille avec precision, en vous proposant du sur-mesure et en etant a l'ecoute de v"
4aa23684b36d04c1113e3aa1279d551c,Untec Services,https://economieconstruction.com,Construction,1-10,500K-1M,paris,,"Cree en 2017, Untec Services apporte des solutions concretes aux economistes de la construction ainsi qua lensemble de la filiere en matiere de formations, evenements, logiciels et partenariats. Untec Services participe au developpement de la filiere batiment et sadresse a toutes les familles de pre"
6884d306a42e725205c2b90439c0475f,Geplast_fr,https://geplast.fr,Construction,51-200,10M-25M,,,"Chez Geplast, nous concevons et fabriquons des profiles thermoplastiques sur mesure pour repondre aux besoins exigeants des professionnels. Forts dun savoir-faire reconnu en extrusion, nous intervenons dans des secteurs varies : batiment, industrie, amenagement interieur et exterieur, naval, agricul"
54719ec8982592a15d7a60ee9d93c52e,Groupe Normabaie,https://normabaie.fr,Wood Product Manufacturing,51-200,10M-25M,boulleville,,"Cree il y a 30 ans, le Groupe Normabaie sest specialise dans la conception et fabrication de menuiseries sur-mesure. Dimension, forme, vitrage, ouverture, couleur, accessoires, rien nest impose, a vous de composer la fenetre de votre choix. Normabaie Production realise des menuiseries en PVC et en a"
903cd0b4240490a4edc772a962174fc2,Nant'artisans,https://nant-artisans.com,Construction,11-50,1M-5M,,,"Bienvenue chez Nantartisans, entreprise de renovation pour les particuliers et les professionnels dans la region nantaise ! Expert des economies denergie et de la renovation, nous sommes certifies RGE (Reconnu Garant de lEnvironnement).  Un label qui vous permet de beneficier du : credit dimpot CITE"
cb79791a7e8dfe1cff7e81f77dace612,FYBOLIA - Fenêtres et Portails,https://fybolia.com,Construction,51-200,10M-25M,saint-malo-des-trois-fontaines,bretagne,"Depuis 1986, Fybolia developpe ses activites (fabrication de menuiseries et portails) a Saint Malo des Trois Fontaines dans le Morbihan. Entreprise familiale rayonnant en premier lieu sur le grand ouest de la France. Fybolia est depuis toujours synonyme dambition et dinnovation. Fybolia a perennise "
5018b13eceb89d88007e412024646b3e,CONSTRUCTION METALLIQUE PARIS,https://paris-metal.com,Construction,11-50,1M-5M,helene du lac,,"CONSTRUCTION METALLIQUE PARIS is a metallic construction company of PARC D ACTIVITES ALPESPACE 116 RUE PAUL EMILE VICTOR, STE HELENE DU LAC, France."
d15982038db5c4b8dd25b045f8b348be,CISABAC,https://cisabac.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,corbeil-essonnes,île-de-france,"""When the quality of the materials meets the know-how of the professional"" The LGI group, specialist in site fencing for over 25 years and specialist in the building envelope for over 30 years, covers the whole of France by bringing together 9 companies, nearly 200 employees and more than 2500 custo"
37de3231e4611c67eac7d35dbde7ac79,GUILLOUX MATÉRIAUX,https://guillouxmateriaux.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,montviron,normandie,"GUILLOUX MATERIAUX est le specialiste en charpente-couverture et second-uvre avec toute une gamme de materiaux biosources, fort de 9 agences en Normandie, dans la Manche, le Calvados, la Seine-Maritime et l'Eure. 70 ANS que nos grands-parents ont crees la societe GUILLOUX MATERIAUX ! Scieurs depuis "
c4f1b2ee3b25404e3b2e02cb767981c9,Altempo,https://altempo.com,Construction,51-200,10M-25M,france,,"Altempo, reconnue de longue date au niveau national en tant que leader de la  Conciergerie Technique de Chantier , est experte de linstallation et de la gestion de chantier, avec une maitrise pointue du LOT 00, cle de voute des projets de construction ou de renovation batimentaire. Specialiste des c"
34706698533e349d65921c2f9bc84a82,MÉHAT GIRPAV,https://cloture-beton.fr,Construction,51-200,10M-25M,,,"- Lentreprise MEHAT est creee a Allaire (56) en 1960 par Raymond MEHAT, qui demarre son activite par la fabrication manuelle de produits en beton : clapiers a lapins, niches, garages, ... Dix ans plus tard, il achete sa premiere machine et debute lautomatisation de la production. Au fil des annees, "
d2dadc4b8ea27f3600ddfe55018c3bef,Zumaplast,https://zumaplast.com,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,,,"Distributeur specialise au service des pros du batiment et du jardin : bardage, isolation, avant toit, menuiseries, terrasse... Facebook : https://www.facebook.com/Zumaplast80/ Bardage : https://bardage.zumaplast.com/ Terrasse : https://terrasse.zumaplast.com Creee en 1992, ZUMAPLAST etait a l'origi"
76776dd9fbb6e4bf505566ed0b1e0b87,Renov'Eco,https://renov-eco.com,Construction,51-200,10M-25M,vaivre-et-montoille,bourgogne-franche-comté,"Expert de la renovation depuis plusieurs annees, Renov'eco vous accompagne dans vos travaux d'amenagement interieur et exterieur, en vous proposant une gamme de produits etendue pour repondre a tous vos besoins en : isolation, facade, toiture, photovoltaique, fermeture, energie, chauffage, terrasse "
