maps,nom,note,avis,metier, adresse,tel,site
https://www.google.com/maps/place/PPF+Rennes+Nord/data=!4m7!3m6!1s0x480edf2c7b9dcff1:0x171ff0cf4d1be2df!8m2!3d48.104598!4d-1.625723!16s%2Fg%2F11trlvmch5!19sChIJ8c-deyzfDkgR3-IbTc_wHxc?authuser=0&hl=fr&rclk=1,PPF Rennes Nord,5,-8,Entrepreneur spécialisé dans l'isolation,21 Rue de l'Oseraie,02 21 83 28 57,https://www.google.com/aclk?sa=L&ai=DChsSEwip98XyvL2UAxXK8XkEHeQ4GN4YACICCAEQAhoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XC2EKmLJ4DsO6cb3x7Nd4BaTHCq5_G3tYaRy1-eEwDRgT7TaFXiuJBoCx2gQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3-cUJMAhm_PTnlnAn5Qrunk6nxPA&adurl&q&ctype=99&nis=6
https://www.google.com/maps/place/LR+ENERGY+-+Rennes+Ouest/data=!4m7!3m6!1s0x480ee73c2839c2fb:0x449812f201dca785!8m2!3d48.21526!4d-1.776014!16s%2Fg%2F11yg8gk667!19sChIJ-8I5KDznDkgRhafcAfISmEQ?authuser=0&hl=fr&rclk=1,LR ENERGY - Rennes Ouest,"4,6",-9,Chauffagiste,3 Rue des Entrepreneurs,02 30 96 25 71,https://www.google.com/aclk?sa=L&ai=DChsSEwip98XyvL2UAxXK8XkEHeQ4GN4YACICCAEQARoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XMMVQ_F4xuz5welBXQ837s5rWSC5IupQbCdhCS5u0nmcqouSWAdLnhoCnQgQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1p7GHIEXaKnedU-k6AP7C_PZWimg&adurl&q&ctype=99&nis=6
https://www.google.com/maps/place/Le+Grand+Plombier+Chauffagiste+-+Salle+de+bain+Rennes/data=!4m7!3m6!1s0x480ee087697e03d1:0x317bf50220ece384!8m2!3d48.1066566!4d-1.7426039!16s%2Fg%2F12mm8401q!19sChIJ0QN-aYfgDkgRhOPsIAL1ezE?authuser=0&hl=fr&rclk=1,Le Grand Plombier Chauffagiste - Salle de bain Rennes,"4,5",-69,Chauffagiste,5 Imp. de la Jonchée,06 47 88 63 22,http://salledebainlegrandrennes.fr/
https://www.google.com/maps/place/Genie+Plomberie/data=!4m7!3m6!1s0x25ff5bccc8cdf285:0xa2f055b893b1a3c6!8m2!3d48.0993594!4d-1.6555685!16s%2Fg%2F11y98t195c!19sChIJhfLNyMxb_yURxqOxk7hV8KI?authuser=0&hl=fr&rclk=1,Genie Plomberie,5,-62,Chauffagiste,22 Sq. Léon Bourgeois,06 47 83 34 51,https://www.genieplomberie.fr/?utm_source=gmb
https://www.google.com/maps/place/Lesn%C3%A9+Service/data=!4m7!3m6!1s0x480ee7a5143e93c5:0x91770d06165f4c76!8m2!3d48.1946623!4d-1.7336701!16s%2Fg%2F1tmpvckw!19sChIJxZM-FKXnDkgRdkxfFgYNd5E?authuser=0&hl=fr&rclk=1,Lesné Service,"4,5",-103,Chauffagiste,"ZA, La Bourdonnais",02 99 68 82 82,http://www.lesneservice.com/
https://www.google.com/maps/place/Bains+%26+Solutions/data=!4m7!3m6!1s0x480ee14cc2809e79:0xff5ed0a506c384cc!8m2!3d48.1070549!4d-1.7290564!16s%2Fg%2F11bbwyt_hw!19sChIJeZ6AwkzhDkgRzITDBqXQXv8?authuser=0&hl=fr&rclk=1,Bains & Solutions,"4,9",-78,Chauffagiste,·,02 99 69 17 48,http://www.bainsetsolutions.fr/
https://www.google.com/maps/place/MPC+Morgan+Plomberie+Chauffage/data=!4m7!3m6!1s0x480f27bde860c057:0x62ef5fc7f81369fe!8m2!3d48.0768638!4d-1.6283192!16s%2Fg%2F11j4czcz30!19sChIJV8Bg6L0nD0gR_mkT-Mdf72I?authuser=0&hl=fr&rclk=1,MPC Morgan Plomberie Chauffage,5,-90,Chauffagiste,6 Rue du Bois de Soeuvres,07 63 90 35 35,http://www.mpc-plomberie-chauffage.fr/?utm_source=gmb
https://www.google.com/maps/place/Globale+Energie/data=!4m7!3m6!1s0x480edf8c9135b9a5:0xfe7365176df1f4bd!8m2!3d48.0735526!4d-1.626009!16s%2Fg%2F11ff53x2n3!19sChIJpbk1kYzfDkgRvfTxbRdlc_4?authuser=0&hl=fr&rclk=1,Globale Energie,"4,9",-39,Chauffagiste,·,07 60 89 73 33,https://scop-globale-energie.fr/
https://www.google.com/maps/place/Garnier+Revault/data=!4m7!3m6!1s0x480edfec79aac31f:0xf4406e90ea4d9988!8m2!3d48.0981339!4d-1.6357624!16s%2Fg%2F11n764k73k!19sChIJH8OqeezfDkgRiJlN6pBuQPQ?authuser=0&hl=fr&rclk=1,Garnier Revault,"4,8",-5,Chauffagiste,7 Rue du Noyer,02 99 53 97 53,https://www.garnier-revault.fr/
https://www.google.com/maps/place/ASSTEC/data=!4m7!3m6!1s0x480ee11d1477d5c1:0xe671cc8f901edf51!8m2!3d48.1172209!4d-1.7356133!16s%2Fg%2F11c5qnw6zy!19sChIJwdV3FB3hDkgRUd8ekI_MceY?authuser=0&hl=fr&rclk=1,ASSTEC,"3,9",-26,Plombier,La Mettrie,02 99 63 12 94,http://www.asstec35.com/
